preco_venda,tipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,tem_suite,tem_piscina,tem_varanda,tem_gourmet,tem_lazer,tem_mobiliado,tem_porteira_fechada,tem_elevador,tem_cobertura,tem_garden,tem_sol_manha,tem_frente_mar,area_suspeita,preco_suspeito,idade_anuncio_dias,preco_m2,preco_m2_suspeito
260000,Apartamento,Cariacica,Campina Grande,42,2,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,,,False
299000,Sobrado,Cariacica,Nova Rosa da Penha,200,2,2,2,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,,False
350000,Casa,Cariacica,Jardim Campo Grande,64,2,2,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
600000,Casa,Cariacica,Jardim América,152,4,3,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,,,False
230000,Casa,Cariacica,Sotema,140,3,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
225000,Apartamento,Cariacica,Jardim de Alah,40,2,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,,,False
530000,Apartamento,Cariacica,Rio Branco,70,2,2,1,True,True,False,False,True,False,False,True,False,False,False,False,False,False,,,False
550000,Sobrado,Cariacica,São Conrado,280,8,5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
350000,Apartamento,Cariacica,São Geraldo,67,3,2,1,True,False,False,False,True,True,False,False,False,True,False,False,False,False,,,False
550000,Apartamento,Cariacica,Campo Grande,104,3,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
649000,Casa,Cariacica,Jardim América,400,4,3,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,False
60000,Apartamento,Cariacica,Padre Gabriel,55,2,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,False
215000,Apartamento,Cariacica,São João Batista,41,2,1,1,False,False,False,True,True,False,False,False,False,True,False,False,False,False,,,False
200000,Casa,Cariacica,Prolar,80,2,1,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,False
180000,Casa,Cariacica,São Conrado,248,3,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
1600000,Casa,Cariacica,Morada de Santa Fé,230,3,4,0,True,True,True,True,False,True,False,False,False,False,False,False,False,False,,,False
179700,Casa,Cariacica,Campina Grande,70,3,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
850000,Casa,Cariacica,Vera Cruz,269,3,1,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,,,False
700000,Cobertura,Cariacica,Vila Capixaba,100,3,2,0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,,,False
195000,Apartamento,Cariacica,Campina Grande,70,2,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,False
