preco_venda,tipo_imovel,subtipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,qtd_imagens,idade_anuncio_dias,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador
1000000,apartamento,apartamento_padrao,Cariacica,Campo Grande,140,4.0,2.0,2.0,13,74,False,True,False,True,False,True
1050000,apartamento,apartamento_padrao,Cariacica,Campo Grande,96,4.0,2.0,2.0,15,0,True,True,False,True,False,True
1050000,apartamento,apartamento_padrao,Cariacica,Campo Grande,115,3.0,2.0,1.0,18,26,False,True,False,True,False,True
1050000,apartamento,apartamento_padrao,Cariacica,Campo Grande,115,3.0,2.0,2.0,20,94,False,True,True,True,True,True
1050000,apartamento,apartamento_padrao,Cariacica,Campo Grande,115,4.0,2.0,2.0,13,101,False,True,True,True,False,True
1090000,apartamento,apartamento_padrao,Cariacica,Campo Grande,115,3.0,3.0,2.0,9,22,False,False,True,True,False,True
1090000,apartamento,apartamento_padrao,Cariacica,Campo Grande,115,3.0,1.0,2.0,20,97,False,True,True,True,False,True
1100000,apartamento,apartamento_padrao,Cariacica,Campo Grande,145,4.0,3.0,2.0,20,11,False,True,True,True,False,True
1150000,apartamento,apartamento_padrao,Cariacica,Campo Grande,115,3.0,2.0,2.0,20,70,False,True,False,True,False,True
1200000,apartamento,apartamento_padrao,Cariacica,Campo Grande,115,3.0,2.0,2.0,20,272,True,True,False,True,False,False
1200000,apartamento,apartamento_padrao,Cariacica,Campo Grande,148,3.0,5.0,2.0,20,662,False,False,True,True,False,False
1245000,apartamento,apartamento_padrao,Cariacica,Campo Grande,116,4.0,1.0,2.0,20,20,False,True,True,True,False,True
1245000,apartamento,apartamento_padrao,Cariacica,Campo Grande,116,3.0,2.0,2.0,20,88,False,False,False,False,False,False
1245000,apartamento,apartamento_padrao,Cariacica,Campo Grande,116,3.0,2.0,2.0,20,89,False,True,False,True,False,True
1290000,apartamento,apartamento_padrao,Cariacica,Campo Grande,114,3.0,1.0,2.0,9,200,False,False,False,False,False,False
1299000,apartamento,apartamento_padrao,Cariacica,Campo Grande,135,3.0,1.0,1.0,9,110,False,False,False,False,False,False
1300000,apartamento,apartamento_padrao,Cariacica,Campo Grande,115,3.0,2.0,2.0,20,14,False,False,True,False,True,True
1300000,apartamento,apartamento_padrao,Cariacica,Campo Grande,116,3.0,2.0,2.0,20,89,True,True,True,True,True,True
1300000,apartamento,apartamento_padrao,Cariacica,Campo Grande,116,4.0,1.0,2.0,20,89,False,True,True,True,False,True
1300000,apartamento,apartamento_padrao,Cariacica,Campo Grande,135,4.0,2.0,2.0,20,158,False,True,False,True,True,True
1300000,apartamento,apartamento_padrao,Cariacica,Campo Grande,115,3.0,2.0,2.0,20,274,True,True,True,True,True,True
1300000,apartamento,apartamento_padrao,Cariacica,Campo Grande,115,4.0,2.0,2.0,20,319,False,True,True,True,True,True
1300000,apartamento,apartamento_padrao,Cariacica,Campo Grande,147,4.0,4.0,2.0,20,352,False,True,True,True,False,True
1300000,apartamento,apartamento_padrao,Cariacica,Campo Grande,115,3.0,1.0,2.0,20,377,False,True,False,True,True,True
1400000,apartamento,apartamento_padrao,Cariacica,Campo Grande,115,3.0,2.0,2.0,20,252,False,True,True,True,True,True
2500000,apartamento,apartamento_padrao,Cariacica,Campo Grande,258,3.0,4.0,3.0,17,50,True,True,True,True,False,True
2800000,apartamento,apartamento_padrao,Cariacica,Campo Grande,188,4.0,4.0,4.0,1,15,False,True,True,True,True,True
120000,apartamento,apartamento_padrao,Cariacica,Castelo Branco,50,1.0,1.0,0.0,15,51,False,False,False,False,False,False
190000,apartamento,apartamento_padrao,Cariacica,Castelo Branco,86,2.0,1.0,1.0,19,12,False,False,False,False,False,False
600000,apartamento,apartamento_padrao,Cariacica,Castelo Branco,380,2.0,5.0,1.0,1,58,False,False,True,False,False,False
162000,apartamento,apartamento_padrao,Cariacica,Cruzeiro do Sul,60,2.0,1.0,1.0,9,39,False,False,True,False,True,False
180000,apartamento,apartamento_padrao,Cariacica,Cruzeiro do Sul,60,3.0,2.0,1.0,3,34,False,False,False,False,False,True
350000,apartamento,apartamento_padrao,Cariacica,Cruzeiro do Sul,70,2.0,1.0,1.0,12,41,False,False,True,False,False,False
385500,apartamento,apartamento_padrao,Cariacica,Cruzeiro do Sul,167,3.0,2.0,2.0,9,372,False,False,False,False,False,False
700000,apartamento,apartamento_padrao,Cariacica,Cruzeiro do Sul,152,3.0,3.0,1.0,16,77,False,False,False,False,False,False
700000,apartamento,apartamento_padrao,Cariacica,Cruzeiro do Sul,152,3.0,3.0,1.0,18,115,False,False,True,False,False,False
760000,apartamento,apartamento_padrao,Cariacica,Cruzeiro do Sul,160,3.0,2.0,2.0,12,318,False,False,True,False,False,False
790000,apartamento,apartamento_padrao,Cariacica,Cruzeiro do Sul,152,3.0,2.0,1.0,15,79,False,False,True,False,False,False
820000,apartamento,apartamento_padrao,Cariacica,Cruzeiro do Sul,152,3.0,3.0,1.0,17,103,True,False,False,False,False,False
165000,apartamento,apartamento_padrao,Cariacica,Expedito,94,3.0,1.0,0.0,12,0,False,False,True,False,False,False
257202,apartamento,apartamento_padrao,Cariacica,Itacibá,42,2.0,1.0,1.0,6,201,False,True,False,True,False,False
900000,apartamento,apartamento_padrao,Cariacica,Itacibá,500,5.0,4.0,4.0,19,188,False,False,False,False,False,False
1540000,apartamento,apartamento_padrao,Cariacica,Itapemirim,90,2.0,3.0,2.0,20,27,False,True,True,True,True,True
190000,apartamento,apartamento_padrao,Cariacica,Itaquari,60,2.0,2.0,0.0,16,38,False,False,False,False,False,False
249000,apartamento,apartamento_padrao,Cariacica,Jardim América,90,2.0,1.0,,8,109,False,False,False,False,False,False
350000,apartamento,apartamento_padrao,Cariacica,Jardim América,176,5.0,3.0,2.0,20,82,False,False,False,False,False,False
495000,apartamento,apartamento_padrao,Cariacica,Jardim América,150,4.0,2.0,1.0,19,40,True,False,False,False,False,False
149522,apartamento,apartamento_padrao,Cariacica,Jardim de Alah,45,2.0,1.0,1.0,5,3,False,False,False,False,False,False
209000,apartamento,apartamento_padrao,Cariacica,Jardim de Alah,42,2.0,1.0,1.0,15,42,False,True,False,True,False,False
210000,apartamento,apartamento_padrao,Cariacica,Jardim de Alah,45,2.0,1.0,1.0,10,223,False,False,False,False,False,False
213000,apartamento,apartamento_padrao,Cariacica,Jardim de Alah,50,2.0,1.0,1.0,17,11,False,True,True,True,False,True
