preco_venda,tipo_imovel,subtipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,anunciante_profissional,qtd_imagens,tem_suite,tem_piscina,tem_varanda,tem_gourmet,tem_lazer,tem_mobiliado,tem_porteira_fechada,tem_elevador,tem_cobertura,tem_garden,tem_sol_manha,tem_frente_mar,area_suspeita,preco_suspeito,idade_anuncio_dias,preco_m2,preco_m2_suspeito
340000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,47,2,1,1,True,6,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1,7234.04,False
349990,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,47,2,1,1,True,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,7446.6,False
360000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,60,2,1,1,True,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,6000.0,False
360000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,47,2,1,2,False,9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2,7659.57,False
367000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,48,2,1,1,True,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,7645.83,False
370000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,55,2,1,1,True,18,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,6727.27,False
370000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,60,2,1,2,True,6,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,6166.67,False
375000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,47,2,1,1,True,11,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,7978.72,False
420000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,75,3,2,1,True,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,5600.0,False
429493,apartamento,loft_studio,Vila Velha,Coqueiral de Itaparica,32,1,1,1,True,20,False,False,True,False,True,False,False,False,False,False,False,False,False,False,1,13421.66,False
429495,apartamento,loft_studio,Vila Velha,Coqueiral de Itaparica,32,1,1,1,True,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,13421.72,False
429497,apartamento,loft_studio,Vila Velha,Coqueiral de Itaparica,32,1,1,1,True,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,13421.78,False
429500,apartamento,loft_studio,Vila Velha,Coqueiral de Itaparica,32,1,1,1,True,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,13421.88,False
429501,apartamento,loft_studio,Vila Velha,Coqueiral de Itaparica,32,1,1,1,True,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,13421.91,False
429505,apartamento,loft_studio,Vila Velha,Coqueiral de Itaparica,32,1,1,1,True,20,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,13422.03,False
450000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,83,3,2,1,True,20,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1,5421.69,False
470192,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,34,1,1,1,True,18,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,13829.18,False
470196,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,34,1,1,1,True,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,13829.29,False
470196,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,34,1,1,1,True,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,13829.29,False
470200,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,34,1,1,1,True,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,13829.41,False
470200,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,34,1,1,1,True,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,13829.41,False
470205,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,34,1,1,1,True,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,13829.56,False
470207,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,34,1,1,1,True,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,13829.62,False
477000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,85,3,2,1,True,14,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,5611.76,False
485000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,84,3,2,1,True,20,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0,5773.81,False
505000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,85,3,2,2,True,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,5941.18,False
505045,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,85,3,2,2,True,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,5941.71,False
550000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,90,2,2,1,True,9,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1,6111.11,False
560992,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,47,2,1,1,True,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,11936.0,False
560999,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,47,2,1,1,True,17,False,True,False,False,True,False,False,False,False,False,False,False,False,False,1,11936.15,False
561000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,52,2,1,1,True,9,False,True,True,False,True,False,False,False,False,False,False,False,False,False,2,10788.46,False
561000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,52,2,1,1,True,9,False,True,True,False,True,False,False,False,False,False,False,False,False,False,2,10788.46,False
561002,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,47,2,1,1,True,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,11936.21,False
561003,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,47,2,1,1,True,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,11936.23,False
645000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,102,3,2,1,False,19,False,False,False,False,True,False,False,True,False,False,False,False,False,False,2,6323.53,False
645796,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,54,2,2,1,True,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,11959.19,False
