preco_venda,tipo_imovel,subtipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,anunciante_profissional,qtd_imagens,tem_suite,tem_piscina,tem_varanda,tem_gourmet,tem_lazer,tem_mobiliado,tem_porteira_fechada,tem_elevador,tem_cobertura,tem_garden,tem_sol_manha,tem_frente_mar,area_suspeita,preco_suspeito,idade_anuncio_dias,preco_m2,preco_m2_suspeito
1300000,apartamento,apartamento_padrao,Cariacica,Campo Grande,115,3,2,2,True,20,False,False,True,False,False,True,False,True,False,False,False,False,False,False,14,11304.35,False
1300000,apartamento,apartamento_padrao,Cariacica,Campo Grande,116,3,2,2,True,20,True,True,True,False,True,True,False,True,False,False,False,False,False,False,89,11206.9,False
1300000,apartamento,apartamento_padrao,Cariacica,Campo Grande,116,4,1,2,True,20,False,True,True,False,True,False,True,True,False,False,False,False,False,False,89,11206.9,False
1300000,apartamento,apartamento_padrao,Cariacica,Campo Grande,135,4,2,2,True,20,False,True,False,False,True,True,False,True,False,False,False,False,False,False,158,9629.63,False
1300000,apartamento,apartamento_padrao,Cariacica,Campo Grande,115,3,2,2,True,20,True,True,True,False,True,True,False,True,False,False,False,False,False,False,274,11304.35,False
1300000,apartamento,apartamento_padrao,Cariacica,Campo Grande,115,4,2,2,True,20,False,True,True,False,True,True,False,True,False,False,False,False,False,False,319,11304.35,False
1300000,apartamento,apartamento_padrao,Cariacica,Campo Grande,147,4,4,2,True,20,False,True,True,False,True,False,False,True,False,False,False,False,False,False,352,8843.54,False
1300000,apartamento,apartamento_padrao,Cariacica,Campo Grande,115,3,1,2,True,20,False,True,False,False,True,True,False,True,False,False,False,False,False,False,377,11304.35,False
1400000,apartamento,apartamento_padrao,Cariacica,Campo Grande,115,3,2,2,True,20,False,True,True,False,True,True,False,True,False,False,False,False,False,False,252,12173.91,False
2500000,apartamento,apartamento_padrao,Cariacica,Campo Grande,258,3,4,3,True,17,True,True,True,False,True,False,False,True,False,False,False,False,False,False,50,9689.92,False
2800000,apartamento,apartamento_padrao,Cariacica,Campo Grande,188,4,4,4,True,1,False,True,True,False,True,True,False,True,False,False,False,False,False,False,15,14893.62,False
120000,apartamento,apartamento_padrao,Cariacica,Castelo Branco,50,1,1,0,False,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,51,2400.0,False
190000,apartamento,apartamento_padrao,Cariacica,Castelo Branco,86,2,1,1,False,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,2209.3,False
600000,apartamento,apartamento_padrao,Cariacica,Castelo Branco,380,2,5,1,False,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,58,1578.95,False
162000,apartamento,apartamento_padrao,Cariacica,Cruzeiro do Sul,60,2,1,1,False,9,False,False,True,False,False,True,False,False,False,False,False,False,False,False,39,2700.0,False
180000,apartamento,apartamento_padrao,Cariacica,Cruzeiro do Sul,60,3,2,1,False,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,34,3000.0,False
350000,apartamento,apartamento_padrao,Cariacica,Cruzeiro do Sul,70,2,1,1,False,12,False,False,True,False,False,False,False,False,False,False,False,False,False,False,41,5000.0,False
385500,apartamento,apartamento_padrao,Cariacica,Cruzeiro do Sul,167,3,2,2,True,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,372,2308.38,False
700000,apartamento,apartamento_padrao,Cariacica,Cruzeiro do Sul,152,3,3,1,True,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,77,4605.26,False
700000,apartamento,apartamento_padrao,Cariacica,Cruzeiro do Sul,152,3,3,1,True,18,False,False,True,True,False,False,False,False,False,False,False,False,False,False,115,4605.26,False
760000,apartamento,apartamento_padrao,Cariacica,Cruzeiro do Sul,160,3,2,2,True,12,False,False,True,False,False,False,False,False,False,False,False,False,False,False,318,4750.0,False
790000,apartamento,apartamento_padrao,Cariacica,Cruzeiro do Sul,152,3,2,1,True,15,False,False,True,False,False,False,False,False,False,False,False,False,False,False,79,5197.37,False
820000,apartamento,apartamento_padrao,Cariacica,Cruzeiro do Sul,152,3,3,1,True,17,True,False,False,True,False,False,False,False,False,False,False,False,False,False,103,5394.74,False
165000,apartamento,apartamento_padrao,Cariacica,Expedito,94,3,1,0,True,12,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,1755.32,False
257202,apartamento,apartamento_padrao,Cariacica,Itacibá,42,2,1,1,True,6,False,True,False,False,True,False,False,False,False,False,False,False,False,False,201,6123.86,False
900000,apartamento,apartamento_padrao,Cariacica,Itacibá,500,5,4,4,True,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,188,1800.0,False
1540000,apartamento,apartamento_padrao,Cariacica,Itapemirim,90,2,3,2,True,20,False,True,True,False,True,True,False,True,False,False,False,False,False,False,27,17111.11,False
190000,apartamento,apartamento_padrao,Cariacica,Itaquari,60,2,2,0,False,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,38,3166.67,False
249000,apartamento,apartamento_padrao,Cariacica,Jardim América,90,2,1,,True,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,109,2766.67,False
350000,apartamento,apartamento_padrao,Cariacica,Jardim América,176,5,3,2,True,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,82,1988.64,False
495000,apartamento,apartamento_padrao,Cariacica,Jardim América,150,4,2,1,True,19,True,False,False,False,False,False,False,False,False,False,False,False,False,False,40,3300.0,False
149522,apartamento,apartamento_padrao,Cariacica,Jardim de Alah,45,2,1,1,True,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,3322.71,False
209000,apartamento,apartamento_padrao,Cariacica,Jardim de Alah,42,2,1,1,True,15,False,True,False,False,True,False,False,False,False,False,False,False,False,False,42,4976.19,False
210000,apartamento,apartamento_padrao,Cariacica,Jardim de Alah,45,2,1,1,True,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,223,4666.67,False
213000,apartamento,apartamento_padrao,Cariacica,Jardim de Alah,50,2,1,1,True,17,False,True,True,False,True,False,False,True,False,False,False,False,False,False,11,4260.0,False
213000,apartamento,apartamento_padrao,Cariacica,Jardim de Alah,50,2,1,1,False,17,False,True,True,False,True,False,False,True,False,False,False,False,False,False,54,4260.0,False
225000,apartamento,apartamento_padrao,Cariacica,Jardim de Alah,40,2,1,1,True,8,False,True,False,False,True,False,False,False,False,False,False,False,False,False,84,5625.0,False
230000,apartamento,apartamento_padrao,Cariacica,Jardim de Alah,45,2,1,1,True,12,False,True,False,False,True,False,False,True,False,False,False,False,False,False,126,5111.11,False
230000,apartamento,apartamento_padrao,Cariacica,Jardim de Alah,46,2,1,1,True,9,False,True,False,False,True,False,False,True,False,False,False,False,False,False,152,5000.0,False
245000,apartamento,apartamento_padrao,Cariacica,Jardim de Alah,50,2,1,1,True,20,False,False,False,False,True,False,False,True,False,False,False,False,False,False,37,4900.0,False
560000,apartamento,apartamento_padrao,Cariacica,Maracanã,54,2,1,1,True,7,False,False,True,False,True,False,False,True,False,False,False,False,False,False,10,10370.37,False
200000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,70,2,1,1,True,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,332,2857.14,False
230000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,59,2,1,1,True,8,False,False,True,False,False,False,False,False,False,False,False,False,False,False,18,3898.31,False
299000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,44,2,1,1,True,9,False,True,False,False,False,False,False,True,False,False,False,False,False,False,250,6795.45,False
322000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,46,2,1,1,True,9,False,True,True,False,False,False,False,True,False,False,False,False,False,False,1181,7000.0,False
330000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,45,2,1,1,True,20,False,True,False,False,False,False,False,True,False,False,False,False,False,False,118,7333.33,False
331800,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,44,2,1,,True,12,False,True,False,False,True,False,False,True,False,False,False,False,False,False,104,7540.91,False
332000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,43,2,1,1,True,12,False,True,False,False,False,False,False,True,False,False,False,False,False,False,53,7720.93,False
335300,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,44,2,1,1,True,11,False,True,True,False,False,False,False,True,False,False,False,False,False,False,121,7620.45,False
345300,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,45,2,1,1,True,11,False,True,True,False,True,False,False,False,False,False,False,False,False,False,112,7673.33,False
359000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,60,2,1,1,True,16,False,False,True,True,False,False,False,True,False,False,False,False,False,False,4,5983.33,False
359000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,60,2,1,1,True,18,False,False,False,False,False,False,False,False,False,False,True,False,False,False,20,5983.33,False
359000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,60,2,1,1,False,18,False,False,True,False,False,False,False,True,False,False,False,False,False,False,48,5983.33,False
359300,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,45,2,1,1,True,20,False,True,False,False,False,False,False,True,False,False,False,False,False,False,37,7984.44,False
360000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,54,2,1,1,True,12,False,False,True,False,False,False,False,True,False,False,False,False,False,False,26,6666.67,False
361100,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,45,2,1,1,True,20,False,True,False,False,False,False,False,True,False,False,False,False,False,False,37,8024.44,False
362900,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,45,2,1,1,True,20,False,True,False,False,False,False,False,True,False,False,False,False,False,False,37,8064.44,False
373700,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,45,2,1,1,True,20,False,True,False,False,False,False,False,True,False,False,False,False,False,False,59,8304.44,False
390000,apartamento,apartamento_padrao,Cariacica,Morada de Santa Fé,45,2,1,1,True,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,119,8666.67,False
