preco_venda,tipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,qtd_imagens,idade_anuncio_dias,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador
470198,apartamento,Vila Velha,Coqueiral de Itaparica,34,1,1,1,15,0,False,False,False,False,False,False
470200,apartamento,Vila Velha,Coqueiral de Itaparica,34,1,1,1,16,1,False,False,False,False,False,False
470205,apartamento,Vila Velha,Coqueiral de Itaparica,34,1,1,1,18,2,False,False,False,False,False,False
470207,apartamento,Vila Velha,Coqueiral de Itaparica,34,1,1,1,16,2,False,False,False,False,False,False
477000,apartamento,Vila Velha,Coqueiral de Itaparica,85,3,2,1,14,1,False,False,False,True,False,False
477000,apartamento,Vila Velha,Coqueiral de Itaparica,84,3,2,1,12,5,False,False,False,False,False,False
485000,apartamento,Vila Velha,Coqueiral de Itaparica,84,3,2,1,20,1,True,False,False,True,False,False
495000,apartamento,Vila Velha,Coqueiral de Itaparica,84,3,3,1,10,6,True,False,False,True,False,False
505000,apartamento,Vila Velha,Coqueiral de Itaparica,85,3,2,2,6,3,True,False,False,False,False,False
505045,apartamento,Vila Velha,Coqueiral de Itaparica,85,3,2,2,4,3,True,False,False,False,False,False
520001,apartamento,Vila Velha,Coqueiral de Itaparica,45,2,1,1,12,6,False,True,True,True,False,True
550000,apartamento,Vila Velha,Coqueiral de Itaparica,90,2,2,1,9,2,False,False,False,False,False,True
560999,apartamento,Vila Velha,Coqueiral de Itaparica,47,2,1,1,17,2,False,True,False,True,False,False
561000,apartamento,Vila Velha,Coqueiral de Itaparica,47,2,1,1,20,0,False,False,False,False,False,False
561000,apartamento,Vila Velha,Coqueiral de Itaparica,52,2,1,1,9,3,False,True,True,True,False,False
561000,apartamento,Vila Velha,Coqueiral de Itaparica,52,2,1,1,9,4,False,True,True,True,False,False
561003,apartamento,Vila Velha,Coqueiral de Itaparica,47,2,1,1,17,0,False,False,False,False,False,False
645796,apartamento,Vila Velha,Coqueiral de Itaparica,54,2,2,1,20,2,False,False,False,False,False,False
