preco_venda,tipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador,fonte_dataset
360000,apartamento,Vila Velha,Coqueiral de Itaparica,60,2,1,1,False,False,False,False,False,False,base_original
360000,apartamento,Vila Velha,Coqueiral de Itaparica,60,2,1,1,False,False,False,False,False,False,base_original
367000,apartamento,Vila Velha,Coqueiral de Itaparica,48,2,1,1,False,False,False,False,False,False,base_original
370000,apartamento,Vila Velha,Coqueiral de Itaparica,60,2,1,2,False,True,False,True,False,False,base_original
370000,apartamento,Vila Velha,Coqueiral de Itaparica,75,3,2,2,False,False,False,False,False,False,base_original
370000,apartamento,Vila Velha,Coqueiral de Itaparica,55,2,1,1,False,False,False,True,False,False,base_original
375000,apartamento,Vila Velha,Coqueiral de Itaparica,47,2,1,1,False,False,False,True,False,False,base_original
380000,apartamento,Vila Velha,Coqueiral de Itaparica,47,2,1,1,False,False,False,False,True,False,base_original
400000,apartamento,Vila Velha,Coqueiral de Itaparica,47,2,1,0,False,False,False,True,False,False,base_original
410000,apartamento,Vila Velha,Coqueiral de Itaparica,74,3,2,2,False,False,False,True,False,False,base_original
420000,apartamento,Vila Velha,Coqueiral de Itaparica,75,3,2,1,False,False,False,False,False,False,base_original
429493,apartamento,Vila Velha,Coqueiral de Itaparica,32,1,1,1,False,False,True,True,False,False,base_original
429494,apartamento,Vila Velha,Coqueiral de Itaparica,32,1,1,1,False,False,False,False,False,False,base_original
429495,apartamento,Vila Velha,Coqueiral de Itaparica,32,1,1,1,False,False,False,False,False,False,base_original
429497,apartamento,Vila Velha,Coqueiral de Itaparica,32,1,1,1,False,False,False,False,False,False,base_original
429501,apartamento,Vila Velha,Coqueiral de Itaparica,32,1,1,1,False,False,False,False,False,False,base_original
429503,apartamento,Vila Velha,Coqueiral de Itaparica,32,1,1,1,False,False,False,True,False,False,base_original
450000,apartamento,Vila Velha,Coqueiral de Itaparica,83,3,2,1,False,False,False,True,False,False,base_original
470192,apartamento,Vila Velha,Coqueiral de Itaparica,34,1,1,1,False,False,False,True,False,False,base_original
470195,apartamento,Vila Velha,Coqueiral de Itaparica,34,1,1,1,False,False,False,False,False,False,base_original
470196,apartamento,Vila Velha,Coqueiral de Itaparica,34,1,1,1,False,False,False,False,False,False,base_original
470196,apartamento,Vila Velha,Coqueiral de Itaparica,34,1,1,1,False,False,False,False,False,False,base_original
470198,apartamento,Vila Velha,Coqueiral de Itaparica,34,1,1,1,False,False,False,False,False,False,base_original
470200,apartamento,Vila Velha,Coqueiral de Itaparica,34,1,1,1,False,False,False,False,False,False,base_original
470205,apartamento,Vila Velha,Coqueiral de Itaparica,34,1,1,1,False,False,False,False,False,False,base_original
470207,apartamento,Vila Velha,Coqueiral de Itaparica,34,1,1,1,False,False,False,False,False,False,base_original
477000,apartamento,Vila Velha,Coqueiral de Itaparica,85,3,2,1,False,False,False,True,False,False,base_original
477000,apartamento,Vila Velha,Coqueiral de Itaparica,84,3,2,1,False,False,False,False,False,False,base_original
485000,apartamento,Vila Velha,Coqueiral de Itaparica,84,3,2,1,True,False,False,True,False,False,base_original
495000,apartamento,Vila Velha,Coqueiral de Itaparica,84,3,3,1,True,False,False,True,False,False,base_original
505000,apartamento,Vila Velha,Coqueiral de Itaparica,85,3,2,2,True,False,False,False,False,False,base_original
505045,apartamento,Vila Velha,Coqueiral de Itaparica,85,3,2,2,True,False,False,False,False,False,base_original
520001,apartamento,Vila Velha,Coqueiral de Itaparica,45,2,1,1,False,True,True,True,False,True,base_original
550000,apartamento,Vila Velha,Coqueiral de Itaparica,90,2,2,1,False,False,False,False,False,True,base_original
560999,apartamento,Vila Velha,Coqueiral de Itaparica,47,2,1,1,False,True,False,True,False,False,base_original
561000,apartamento,Vila Velha,Coqueiral de Itaparica,47,2,1,1,False,False,False,False,False,False,base_original
561000,apartamento,Vila Velha,Coqueiral de Itaparica,52,2,1,1,False,True,True,True,False,False,base_original
561000,apartamento,Vila Velha,Coqueiral de Itaparica,52,2,1,1,False,True,True,True,False,False,base_original
561003,apartamento,Vila Velha,Coqueiral de Itaparica,47,2,1,1,False,False,False,False,False,False,base_original
645796,apartamento,Vila Velha,Coqueiral de Itaparica,54,2,2,1,False,False,False,False,False,False,base_original
645800,apartamento,Vila Velha,Coqueiral de Itaparica,54,2,2,1,True,False,False,True,False,False,base_original
645800,apartamento,Vila Velha,Coqueiral de Itaparica,54,2,2,1,True,False,False,False,False,False,base_original
650000,apartamento,Vila Velha,Coqueiral de Itaparica,103,3,2,1,False,False,False,False,False,False,base_original
650000,apartamento,Vila Velha,Coqueiral de Itaparica,103,3,2,1,True,False,False,True,False,True,base_original
671092,apartamento,Vila Velha,Coqueiral de Itaparica,56,2,2,2,True,False,False,True,False,False,base_original
671092,apartamento,Vila Velha,Coqueiral de Itaparica,56,2,2,2,True,False,False,True,False,False,base_original
671095,apartamento,Vila Velha,Coqueiral de Itaparica,56,2,2,2,False,False,False,False,False,False,base_original
671097,apartamento,Vila Velha,Coqueiral de Itaparica,56,2,2,2,True,False,False,False,False,False,base_original
671098,apartamento,Vila Velha,Coqueiral de Itaparica,56,2,2,2,True,False,False,True,False,False,base_original
671103,apartamento,Vila Velha,Coqueiral de Itaparica,56,2,2,2,True,False,False,False,False,False,base_original
671104,apartamento,Vila Velha,Coqueiral de Itaparica,56,2,2,2,False,False,False,False,False,False,base_original
671105,apartamento,Vila Velha,Coqueiral de Itaparica,56,2,2,2,False,False,False,True,False,False,base_original
682773,apartamento,Vila Velha,Coqueiral de Itaparica,62,2,1,1,False,True,True,True,False,False,base_original
690000,apartamento,Vila Velha,Coqueiral de Itaparica,103,3,2,1,False,False,False,True,False,True,base_original
690000,apartamento,Vila Velha,Coqueiral de Itaparica,102,3,2,1,True,False,False,False,False,False,base_original
690000,apartamento,Vila Velha,Coqueiral de Itaparica,103,3,2,1,False,False,False,False,False,False,base_original
690000,apartamento,Vila Velha,Coqueiral de Itaparica,103,3,2,1,False,False,False,True,False,True,base_original
690034,apartamento,Vila Velha,Coqueiral de Itaparica,102,3,2,1,True,False,False,False,False,False,base_original
695000,apartamento,Vila Velha,Coqueiral de Itaparica,70,2,2,1,False,True,False,False,False,True,base_original
697800,apartamento,Vila Velha,Coqueiral de Itaparica,68,2,2,1,False,True,True,True,False,False,base_original
700000,apartamento,Vila Velha,Coqueiral de Itaparica,102,3,2,1,False,False,False,True,False,True,base_original
749000,apartamento,Vila Velha,Coqueiral de Itaparica,60,2,2,1,False,True,False,True,False,True,base_original
750000,apartamento,Vila Velha,Coqueiral de Itaparica,58,2,2,1,False,False,False,False,False,False,base_original
760000,apartamento,Vila Velha,Coqueiral de Itaparica,60,2,2,1,False,True,True,True,False,True,base_original
777280,apartamento,Vila Velha,Coqueiral de Itaparica,70,2,1,1,False,False,False,False,False,False,base_original
788000,apartamento,Vila Velha,Coqueiral de Itaparica,56,2,2,1,True,True,True,True,False,True,base_original
799000,apartamento,Vila Velha,Coqueiral de Itaparica,71,2,2,2,False,True,True,True,False,False,base_original
842489,apartamento,Vila Velha,Coqueiral de Itaparica,76,3,2,2,False,False,True,True,False,True,base_original
872501,apartamento,Vila Velha,Coqueiral de Itaparica,60,2,1,1,False,True,True,True,False,False,base_original
950000,apartamento,Vila Velha,Coqueiral de Itaparica,71,3,2,2,False,False,False,False,False,False,base_original
950033,apartamento,Vila Velha,Coqueiral de Itaparica,71,3,2,1,False,False,False,False,False,False,base_original
967317,apartamento,Vila Velha,Coqueiral de Itaparica,76,3,3,2,False,False,False,False,False,False,base_original
1142571,apartamento,Vila Velha,Coqueiral de Itaparica,72,3,1,1,False,False,False,False,False,False,base_original
1150000,apartamento,Vila Velha,Coqueiral de Itaparica,87,3,2,2,False,True,True,False,False,True,base_original
850000,apartamento,Vila Velha,Cristóvão Colombo,150,2,2,4,False,False,False,False,True,False,base_original
2100000,apartamento,Vila Velha,Darly Santos,148,4,4,3,False,True,True,True,False,True,base_original
2100000,apartamento,Vila Velha,Darly Santos,148,4,4,3,False,True,True,True,True,True,base_original
2179000,apartamento,Vila Velha,Darly Santos,147,4,4,3,False,True,True,True,True,True,base_original
2179000,apartamento,Vila Velha,Darly Santos,147,4,4,3,False,True,True,True,True,True,base_original
2179000,apartamento,Vila Velha,Darly Santos,147,4,4,3,False,True,True,True,True,True,base_original
2179000,apartamento,Vila Velha,Darly Santos,147,4,4,3,False,True,True,True,True,True,base_original
2179000,apartamento,Vila Velha,Darly Santos,147,4,4,3,False,True,True,True,True,True,base_original
2599000,apartamento,Vila Velha,Darly Santos,147,4,4,3,False,True,True,True,True,True,base_original
2799900,apartamento,Vila Velha,Darly Santos,188,4,4,4,True,True,True,True,True,True,base_original
