preco_venda,tipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador
850000,apartamento,Cariacica,Campo Grande,85,3,2,2,True,True,True,True,False,True
950000,apartamento,Cariacica,Campo Grande,150,3,5,2,True,False,True,True,False,False
320000,apartamento,Cariacica,Rio Branco,51,1,1,0,False,True,True,True,False,True
265000,apartamento,Cariacica,Campo Grande,85,2,1,0,False,False,False,False,False,False
350000,apartamento,Cariacica,Jardim América,176,5,3,2,True,False,False,False,False,False
570000,casa,Cariacica,São Geraldo,100,2,2,1,False,False,False,False,True,False
1250000,casa,Cariacica,Santa Bárbara,540,3,3,2,True,True,False,False,True,False
899900,casa,Cariacica,Vera Cruz,206,3,2,2,True,False,False,False,False,False
1100000,apartamento,Cariacica,São Geraldo,91,3,1,2,False,True,True,True,False,True
900000,casa,Cariacica,São Conrado,206,3,2,2,True,False,False,False,False,False
410000,apartamento,Cariacica,Rio Branco,67,3,2,1,True,True,False,True,False,True
390000,apartamento,Cariacica,Morada de Santa Fé,45,2,1,1,False,False,False,False,False,False
257202,apartamento,Cariacica,Itacibá,42,2,1,1,False,True,False,False,False,False
470000,casa,Cariacica,Rio Branco,150,4,3,2,False,False,True,False,False,False
780000,casa,Cariacica,Jardim América,324,4,2,4,False,False,True,False,False,False
300000,casa,Cariacica,São Francisco,80,3,2,0,False,False,False,False,False,False
450000,apartamento,Cariacica,Rio Branco,65,3,1,1,False,True,True,True,False,True
998000,casa,Cariacica,Vasco da Gama,300,4,4,2,True,False,True,False,False,False
1000000,apartamento,Cariacica,Campo Grande,140,4,2,2,True,True,False,True,False,True
350000,casa,Cariacica,Porto de Cariacica,63,2,1,1,False,False,False,False,False,False
749900,casa,Cariacica,São Conrado,110,5,3,2,True,False,False,False,False,False
1300000,apartamento,Cariacica,Campo Grande,115,3,2,2,True,True,True,True,True,True
700000,apartamento,Cariacica,Tiradentes,112,3,3,0,True,False,True,False,False,False
1050000,apartamento,Cariacica,Campo Grande,115,3,2,2,True,True,True,True,True,True
980000,casa,Cariacica,Jardim América,349,3,3,2,False,False,False,False,True,False
390000,casa,Cariacica,Jardim Campo Grande,52,2,1,4,False,False,False,False,False,False
1245000,apartamento,Cariacica,São Geraldo,116,3,2,2,True,False,False,False,False,False
655000,casa,Cariacica,Jardim América,84,2,1,0,True,False,False,False,False,False
950000,casa,Cariacica,Campo Grande,80,3,3,2,True,False,False,False,False,False
620000,casa,Cariacica,São Geraldo,160,4,3,2,True,True,False,False,False,False
750000,casa,Cariacica,São Conrado,128,3,1,2,True,False,True,False,False,False
380000,apartamento,Cariacica,São Francisco,216,5,3,0,False,False,True,False,False,False
1100000,casa,Cariacica,Campo Grande,130,2,1,1,True,False,False,False,False,False
1800000,casa,Cariacica,Santa Bárbara,235,4,4,4,True,False,False,False,True,False
1500000,casa,Cariacica,Morada de Santa Fé,400,3,3,4,True,False,False,False,False,False
1800000,casa,Cariacica,Santa Bárbara,235,4,4,2,True,False,True,False,True,False
1285000,casa,Cariacica,Vera Cruz,521,4,5,3,True,True,True,False,True,False
655000,casa,Cariacica,Jardim América,162,3,3,2,True,False,False,False,False,False
1450000,casa,Cariacica,Campo Grande,525,3,2,4,True,False,True,False,False,False
985000,casa,Cariacica,Morada de Santa Fé,322,5,4,3,True,False,False,False,False,False
800000,casa,Cariacica,Itacibá,300,3,2,2,False,False,False,False,False,False
870000,apartamento,Cariacica,Campo Grande,240,4,5,1,True,False,False,False,True,False
1000000,casa,Cariacica,Jardim América,200,3,1,2,True,False,False,False,False,False
480000,apartamento,Cariacica,Alto Lage,166,3,2,1,True,False,False,False,False,False
550000,casa,Cariacica,Campo Grande,250,4,1,4,False,False,False,False,False,False
1800000,casa,Cariacica,Santa Bárbara,235,4,1,3,True,False,False,False,False,False
265000,apartamento,Cariacica,Vera Cruz,100,3,2,0,True,False,True,False,False,False
850000,casa,Cariacica,Itacibá,200,3,2,3,False,False,False,False,False,False
480000,apartamento,Cariacica,Alto Lage,166,3,2,1,True,False,False,False,False,False
603500,apartamento,Cariacica,Campo Grande,65,2,2,1,True,True,True,True,False,True
1090000,apartamento,Cariacica,Campo Grande,115,3,1,2,False,True,True,True,False,True
985000,casa,Cariacica,Morada de Santa Fé,323,3,1,3,False,False,False,False,True,False
1200000,apartamento,Cariacica,Campo Grande,148,3,5,2,True,False,True,True,False,False
1800000,casa,Cariacica,Campo Grande,400,5,4,5,True,False,True,False,False,False
1300000,apartamento,Cariacica,Campo Grande,147,4,4,2,True,True,True,True,False,True
450000,casa,Cariacica,Vila Capixaba,80,5,2,1,False,False,False,False,False,False
899000,casa,Cariacica,Jardim América,100,2,3,2,True,False,True,False,True,False
1320000,casa,Cariacica,Rosa da Penha,490,3,3,5,True,False,False,False,False,False
1200000,casa,Cariacica,Campo Grande,140,4,2,4,True,False,False,False,False,False
