_row_id_base,_row_id_novo,cidade_base,cidade_novo,bairro_base,bairro_novo,tipo_imovel_base,tipo_imovel_novo,preco_venda_base,preco_venda_novo,area_m2_base,area_m2_novo,quartos,banheiros,vagas,dif_preco_abs,dif_preco_pct,dif_area_abs,dif_area_pct
289,3527,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,745000,745000.0,75,75,2.0,2.0,1.0,0.0,0.0,0,0.0
291,3947,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,750000,750000.0,78,78,3.0,2.0,1.0,0.0,0.0,0,0.0
295,3807,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,760000,760000.0,62,62,2.0,2.0,1.0,0.0,0.0,0,0.0
295,4170,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,760000,760000.0,62,62,2.0,2.0,1.0,0.0,0.0,0,0.0
298,3876,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,780000,780000.0,80,80,3.0,2.0,2.0,0.0,0.0,0,0.0
299,4655,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,780000,780000.0,79,79,3.0,2.0,1.0,0.0,0.0,0,0.0
300,4145,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,780000,780000.0,116,116,3.0,2.0,1.0,0.0,0.0,0,0.0
300,4533,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,780000,780000.0,116,116,3.0,2.0,1.0,0.0,0.0,0,0.0
300,4594,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,780000,780000.0,116,116,3.0,2.0,1.0,0.0,0.0,0,0.0
301,3876,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,780000,780000.0,80,80,3.0,2.0,2.0,0.0,0.0,0,0.0
302,4145,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,780000,780000.0,116,116,3.0,2.0,1.0,0.0,0.0,0,0.0
302,4533,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,780000,780000.0,116,116,3.0,2.0,1.0,0.0,0.0,0,0.0
302,4594,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,780000,780000.0,116,116,3.0,2.0,1.0,0.0,0.0,0,0.0
309,3425,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,790000,790000.0,85,85,2.0,2.0,1.0,0.0,0.0,0,0.0
314,4387,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,795000,795000.0,74,74,2.0,2.0,1.0,0.0,0.0,0,0.0
314,4657,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,795000,795000.0,74,74,2.0,2.0,1.0,0.0,0.0,0,0.0
315,4387,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,795000,795000.0,74,74,2.0,2.0,1.0,0.0,0.0,0,0.0
315,4657,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,795000,795000.0,74,74,2.0,2.0,1.0,0.0,0.0,0,0.0
316,4387,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,795000,795000.0,74,74,2.0,2.0,1.0,0.0,0.0,0,0.0
316,4657,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,795000,795000.0,74,74,2.0,2.0,1.0,0.0,0.0,0,0.0
317,3909,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,799000,799000.0,85,85,3.0,2.0,1.0,0.0,0.0,0,0.0
318,3909,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,799000,799000.0,85,85,3.0,2.0,1.0,0.0,0.0,0,0.0
320,4298,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,820000,820000.0,73,73,3.0,2.0,2.0,0.0,0.0,0,0.0
325,4138,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,850000,850000.0,90,90,3.0,2.0,1.0,0.0,0.0,0,0.0
327,4207,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,850000,850000.0,154,154,3.0,1.0,2.0,0.0,0.0,0,0.0
