preco_venda,preco_m2,tipo_imovel_original,tipo_imovel,cidade_original,cidade,bairro,area_m2,quartos,banheiros,vagas,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador,preco_suspeito,area_suspeita,preco_m2_suspeito
1050000,9130.43,Apartamento,apartamento,Cariacica,Cariacica,São Geraldo,115,3,2,2,True,False,False,False,False,False,False,False,False
849900,9998.82,Apartamento,apartamento,Cariacica,Cariacica,São Geraldo,85,3,2,2,True,False,False,False,False,False,False,False,False
420000,3333.33,Térrea,casa,Cariacica,Cariacica,Santa Bárbara,126,2,2,2,True,False,False,False,False,False,False,False,False
604000,7277.11,Apartamento,apartamento,Cariacica,Cariacica,Campo Grande,83,3,1,3,False,True,False,True,False,True,False,False,False
450000,7142.86,Apartamento,apartamento,Cariacica,Cariacica,Rio Branco,63,3,2,1,True,False,False,False,False,False,False,False,False
950000,4750.0,Sobrado,casa,Cariacica,Cariacica,Jardim América,200,3,2,3,True,False,True,False,False,False,False,False,False
900000,4368.93,Casa,casa,Cariacica,Cariacica,Vera Cruz,206,3,2,2,True,False,False,False,False,False,False,False,False
600000,2000.0,Casa,casa,Cariacica,Cariacica,Santana,300,4,2,1,True,False,False,False,False,False,False,False,False
600000,4615.38,Apartamento,apartamento,Cariacica,Cariacica,Campo Grande,130,3,2,1,True,False,False,False,True,False,False,False,False
355000,5634.92,Apartamento,apartamento,Cariacica,Cariacica,São Geraldo,63,3,1,1,True,False,False,True,True,True,False,False,False
790000,5197.37,Apartamento,apartamento,Cariacica,Cariacica,Cruzeiro do Sul,152,3,2,1,True,False,True,False,False,False,False,False,False
415000,2842.47,Casa,casa,Cariacica,Cariacica,Santa Bárbara,146,3,1,2,False,False,False,False,False,False,False,False,False
385500,2308.38,Apartamento,apartamento,Cariacica,Cariacica,Cruzeiro do Sul,167,3,2,2,True,False,False,False,False,False,False,False,False
285000,1727.27,Casa,casa,Cariacica,Cariacica,São Geraldo II,165,4,2,0,False,False,False,False,False,False,False,False,False
283000,6152.17,Apartamento,apartamento,Cariacica,Cariacica,São João Batista,46,2,1,1,False,False,False,True,False,False,False,False,False
250000,5681.82,Apartamento,apartamento,Cariacica,Cariacica,Campina Grande,44,2,1,1,False,False,False,True,False,False,False,False,False
700000,1944.44,Casa,casa,Cariacica,Cariacica,Itaquari,360,7,3,4,False,False,False,False,False,False,False,False,False
410000,6119.4,Apartamento,apartamento,Cariacica,Cariacica,Rio Branco,67,3,2,1,False,False,False,False,False,False,False,False,False
331800,7540.91,Apartamento,apartamento,Cariacica,Cariacica,Morada de Santa Fé,44,2,1,0,False,True,False,True,False,True,False,False,False
500000,4166.67,Apartamento,apartamento,Cariacica,Cariacica,São Conrado,120,3,2,0,True,False,False,False,True,False,False,False,False
500000,1288.66,Casa,casa,Cariacica,Cariacica,Alto Lage,388,5,3,0,False,False,False,False,False,False,False,False,False
980000,3266.67,Casa,casa,Cariacica,Cariacica,Jardim América,300,3,5,0,True,False,True,True,False,False,False,False,False
650000,5118.11,Casa,casa,Cariacica,Cariacica,Morada de Santa Fé,127,3,2,0,True,True,False,False,False,False,False,False,False
1299000,9622.22,Apartamento,apartamento,Cariacica,Cariacica,Campo Grande,135,3,1,0,False,False,False,False,False,False,False,False,False
320000,5818.18,Apartamento,apartamento,Cariacica,Cariacica,Rio Branco,55,2,1,0,False,False,True,False,False,False,False,False,False
650000,6372.55,Apartamento,apartamento,Cariacica,Cariacica,Campo Grande,102,3,2,0,True,False,True,True,False,False,False,False,False
550000,9322.03,Apartamento,apartamento,Cariacica,Cariacica,Rio Branco,59,3,2,0,True,False,False,False,False,True,False,False,False
441000,7000.0,Apartamento,apartamento,Cariacica,Cariacica,São Geraldo,63,3,2,0,True,False,False,True,True,True,False,False,False
1650000,8250.0,Casa,casa,Cariacica,Cariacica,Morada de Santa Fé,200,3,4,5,True,False,True,False,False,False,False,False,False
700000,4605.26,Apartamento,apartamento,Cariacica,Cariacica,Cruzeiro do Sul,152,3,3,1,True,False,True,False,False,False,False,False,False
380000,2714.29,Apartamento,apartamento,Cariacica,Cariacica,São Francisco,140,3,2,0,True,False,False,False,False,False,False,False,False
200000,2857.14,Apartamento,apartamento,Cariacica,Cariacica,Morada de Santa Fé,70,2,1,1,False,False,False,False,False,False,False,False,False
320000,5925.93,Apartamento,apartamento,Cariacica,Cariacica,Rio Branco,54,2,1,1,False,False,False,True,False,True,False,False,False
1300000,9629.63,Apartamento,apartamento,Cariacica,Cariacica,Campo Grande,135,4,2,2,True,True,False,True,True,True,False,False,False
1300000,11304.35,Apartamento,apartamento,Cariacica,Cariacica,Campo Grande,115,3,1,2,False,True,False,True,True,True,False,False,False
480000,3200.0,Casa,casa,Cariacica,Cariacica,Campo Grande,150,2,1,0,False,False,False,False,False,False,False,False,False
360000,6666.67,Apartamento,apartamento,Cariacica,Cariacica,Morada de Santa Fé,54,2,1,1,False,False,True,False,False,True,False,False,False
1290000,11315.79,Apartamento,apartamento,Cariacica,Cariacica,Campo Grande,114,3,1,2,False,False,False,False,False,False,False,False,False
872250,8468.45,Apartamento,apartamento,Cariacica,Cariacica,São Geraldo,103,3,2,2,True,True,False,True,False,False,False,False,False
300000,6521.74,Apartamento,apartamento,Cariacica,Cariacica,São Geraldo,46,2,1,1,False,False,False,True,False,False,False,False,False
460000,2300.0,Casa,casa,Cariacica,Cariacica,Rio Branco,200,4,3,2,False,False,False,False,False,False,False,False,False
450000,6716.42,Apartamento,apartamento,Cariacica,Cariacica,Rio Branco,67,3,2,1,True,False,False,False,False,False,False,False,False
600000,2222.22,Apartamento,apartamento,Cariacica,Cariacica,Vila Capixaba,270,4,2,0,True,False,False,False,False,False,False,False,False
299000,1718.39,Casa,casa,Cariacica,Cariacica,Itaquari,174,4,2,2,False,False,True,False,False,False,False,False,False
460000,3833.33,Apartamento,apartamento,Cariacica,Cariacica,Campo Grande,120,2,2,1,True,False,False,False,False,False,False,False,False
460000,1210.53,Casa,casa,Cariacica,Cariacica,Santo André,380,4,2,1,True,False,False,False,False,False,False,False,False
210000,4666.67,Apartamento,apartamento,Cariacica,Cariacica,Campina Grande,45,2,1,1,False,True,False,True,False,False,False,False,False
300000,6521.74,Apartamento,apartamento,Cariacica,Cariacica,São Geraldo,46,2,1,1,True,False,False,True,False,True,False,False,False
495000,3300.0,Apartamento,apartamento,Cariacica,Cariacica,Jardim América,150,4,2,1,True,False,False,False,False,False,False,False,False
499999,2427.18,Apartamento,apartamento,Cariacica,Cariacica,Bela Aurora,206,3,2,0,False,False,False,False,False,False,False,False,False
319900,4570.0,Casa,casa,Cariacica,Cariacica,Tiradentes,70,2,1,0,False,False,False,False,False,False,False,False,False
850000,4126.21,Casa,casa,Cariacica,Cariacica,Vera Cruz,206,3,1,0,True,False,True,False,False,False,False,False,False
450000,2307.69,Apartamento,apartamento,Cariacica,Cariacica,Campo Grande,195,4,3,0,False,False,False,False,False,False,False,False,False
240000,5714.29,Apartamento,apartamento,Cariacica,Cariacica,São João Batista,42,2,1,0,False,False,False,False,False,False,False,False,False
230000,1916.67,Casa,casa,Cariacica,Cariacica,Rosa da Penha,120,3,2,0,False,False,False,False,False,False,False,False,False
180000,3214.29,Casa,casa,Cariacica,Cariacica,Bandeirantes,56,2,2,0,False,False,False,False,False,False,False,False,False
1780000,6953.12,Casa,casa,Cariacica,Cariacica,Vera Cruz,256,4,3,0,True,False,True,False,True,False,False,False,False
700000,2333.33,Casa,casa,Cariacica,Cariacica,Jardim América,300,3,3,0,True,False,True,False,False,False,False,False,False
800000,5333.33,Apartamento,apartamento,Cariacica,Cariacica,Campo Grande,150,3,3,2,True,False,False,True,False,True,False,False,False
850000,10000.0,Apartamento,apartamento,Cariacica,Cariacica,Campo Grande,85,3,2,2,True,True,True,True,False,True,False,False,False
950000,6333.33,Apartamento,apartamento,Cariacica,Cariacica,Campo Grande,150,3,5,2,True,False,True,True,False,False,False,False,False
320000,6274.51,Apartamento,apartamento,Cariacica,Cariacica,Rio Branco,51,1,1,0,False,True,True,True,False,True,False,False,False
265000,3117.65,Apartamento,apartamento,Cariacica,Cariacica,Campo Grande,85,2,1,0,False,False,False,False,False,False,False,False,False
350000,1988.64,Apartamento,apartamento,Cariacica,Cariacica,Jardim América,176,5,3,2,True,False,False,False,False,False,False,False,False
570000,5700.0,Casa,casa,Cariacica,Cariacica,São Geraldo,100,2,2,1,False,False,False,False,True,False,False,False,False
1250000,2314.81,Casa,casa,Cariacica,Cariacica,Santa Bárbara,540,3,3,2,True,True,False,False,True,False,False,False,False
899900,4368.45,Sobrado,casa,Cariacica,Cariacica,Vera Cruz,206,3,2,2,True,False,False,False,False,False,False,False,False
360000,2222.22,Casa,casa,Cariacica,Cariacica,São Conrado,162,2,1,0,False,False,False,False,False,False,False,False,False
1100000,12087.91,Apartamento,apartamento,Cariacica,Cariacica,São Geraldo,91,3,1,2,False,True,True,True,False,True,False,False,False
900000,4368.93,Casa,casa,Cariacica,Cariacica,São Conrado,206,3,2,2,True,False,False,False,False,False,False,False,False
410000,6119.4,Apartamento,apartamento,Cariacica,Cariacica,Rio Branco,67,3,2,1,True,True,False,True,False,True,False,False,False
390000,8666.67,Apartamento,apartamento,Cariacica,Cariacica,Morada de Santa Fé,45,2,1,1,False,False,False,False,False,False,False,False,False
257202,6123.86,Apartamento,apartamento,Cariacica,Cariacica,Itacibá,42,2,1,1,False,True,False,False,False,False,False,False,False
470000,3133.33,Casa,casa,Cariacica,Cariacica,Rio Branco,150,4,3,2,False,False,True,False,False,False,False,False,False
780000,2407.41,Casa,casa,Cariacica,Cariacica,Jardim América,324,4,2,4,False,False,True,False,False,False,False,False,False
480000,3037.97,Casa,casa,Cariacica,Cariacica,Itaquari,158,3,2,0,False,False,True,False,False,False,False,False,False
300000,3750.0,Casa,casa,Cariacica,Cariacica,São Francisco,80,3,2,0,False,False,False,False,False,False,False,False,False
450000,6923.08,Apartamento,apartamento,Cariacica,Cariacica,Rio Branco,65,3,1,1,False,True,True,True,False,True,False,False,False
998000,3326.67,Casa,casa,Cariacica,Cariacica,Vasco da Gama,300,4,4,2,True,False,True,False,False,False,False,False,False
800000,2857.14,Casa,casa,Cariacica,Cariacica,Campo Grande,280,3,1,0,False,False,False,False,False,False,False,False,False
350000,3932.58,Casa,casa,Cariacica,Cariacica,Piranema,89,2,1,0,False,False,False,False,False,False,False,False,False
