preco_venda,tipo_imovel,subtipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,qtd_imagens,idade_anuncio_dias,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador
700000,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,87,3.0,2.0,1.0,17,10,False,False,False,False,False,False
700077,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,96,3.0,2.0,1.0,9,3,False,False,False,False,False,False
780000,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,153,3.0,2.0,1.0,19,3,True,False,False,False,False,False
788007,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,153,3.0,2.0,1.0,19,3,True,False,False,False,False,False
850000,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,138,3.0,3.0,1.0,20,2,True,False,False,False,False,True
895000,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,136,3.0,3.0,1.0,16,3,True,False,False,False,False,False
895099,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,136,3.0,3.0,1.0,16,3,True,False,False,False,False,False
999000,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,137,3.0,2.0,1.0,8,10,False,False,False,True,False,True
1200000,apartamento,apartamento_cobertura,Vila Velha,Centro de Vila Velha,184,2.0,2.0,,9,3,False,False,True,False,False,False
1580332,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,240,4.0,3.0,2.0,7,11,False,False,False,False,False,False
1700000,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,503,5.0,5.0,3.0,17,3,False,True,True,False,False,False
1700000,apartamento,apartamento_padrao,Vila Velha,Centro de Vila Velha,503,5.0,5.0,3.0,19,4,False,True,True,False,False,False
279000,apartamento,apartamento_padrao,Vila Velha,Cidade da Barra,69,2.0,2.0,1.0,13,0,False,False,False,False,False,False
280000,apartamento,apartamento_padrao,Vila Velha,Cidade da Barra,69,2.0,2.0,1.0,10,1,False,False,False,False,False,False
300000,apartamento,apartamento_padrao,Vila Velha,Cobilândia,78,3.0,1.0,1.0,14,2,False,False,False,False,False,False
2000000,apartamento,apartamento_padrao,Vila Velha,Cobilândia,700,4.0,5.0,4.0,2,6,False,False,True,False,True,False
2300000,apartamento,apartamento_padrao,Vila Velha,Cobilândia,710,5.0,5.0,5.0,20,4,False,False,True,False,False,False
300000,apartamento,apartamento_padrao,Vila Velha,Cocal,50,2.0,1.0,,1,1,False,False,False,False,False,False
408560,apartamento,apartamento_padrao,Vila Velha,Cocal,51,2.0,2.0,0.0,17,10,True,True,True,False,False,True
494500,apartamento,apartamento_padrao,Vila Velha,Cocal,47,2.0,1.0,1.0,0,2,False,True,True,True,False,False
496200,apartamento,apartamento_padrao,Vila Velha,Cocal,67,3.0,2.0,2.0,18,10,True,True,True,False,False,True
571200,apartamento,apartamento_padrao,Vila Velha,Cocal,53,2.0,1.0,1.0,20,2,False,True,True,True,False,False
590000,apartamento,apartamento_padrao,Vila Velha,Cocal,50,2.0,1.0,1.0,20,2,False,True,True,True,False,False
590000,apartamento,apartamento_padrao,Vila Velha,Cocal,50,2.0,1.0,1.0,20,4,False,True,True,True,False,False
250000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,45,1.0,1.0,1.0,20,3,False,True,False,True,False,True
340000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,47,2.0,1.0,1.0,6,2,False,False,False,True,False,False
349990,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,47,2.0,1.0,1.0,15,2,False,False,False,False,False,False
360000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,47,2.0,1.0,2.0,9,0,False,False,False,True,False,False
360000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,60,2.0,1.0,1.0,18,3,False,False,False,False,False,False
360000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,60,2.0,1.0,1.0,18,5,False,False,False,False,False,False
367000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,48,2.0,1.0,1.0,20,2,False,False,False,False,False,False
370000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,60,2.0,1.0,2.0,11,0,False,True,False,True,False,False
370000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,75,3.0,2.0,2.0,13,1,False,False,False,False,False,False
370000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,55,2.0,1.0,1.0,18,1,False,False,False,True,False,False
375000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,47,2.0,1.0,1.0,11,2,False,False,False,True,False,False
380000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,47,2.0,1.0,1.0,16,6,False,False,False,False,True,False
400000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,47,2.0,1.0,0.0,18,1,False,False,False,True,False,False
410000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,74,3.0,2.0,2.0,20,4,False,False,False,True,False,False
420000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,75,3.0,2.0,1.0,5,3,False,False,False,False,False,False
429493,apartamento,loft_studio,Vila Velha,Coqueiral de Itaparica,32,1.0,1.0,1.0,20,3,False,False,True,True,False,False
429494,apartamento,loft_studio,Vila Velha,Coqueiral de Itaparica,32,1.0,1.0,1.0,20,0,False,False,False,False,False,False
429495,apartamento,loft_studio,Vila Velha,Coqueiral de Itaparica,32,1.0,1.0,1.0,20,2,False,False,False,False,False,False
429497,apartamento,loft_studio,Vila Velha,Coqueiral de Itaparica,32,1.0,1.0,1.0,20,3,False,False,False,False,False,False
429501,apartamento,loft_studio,Vila Velha,Coqueiral de Itaparica,32,1.0,1.0,1.0,20,2,False,False,False,False,False,False
429503,apartamento,loft_studio,Vila Velha,Coqueiral de Itaparica,32,1.0,1.0,1.0,20,0,False,False,False,True,False,False
450000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,83,3.0,2.0,1.0,20,2,False,False,False,True,False,False
470192,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,34,1.0,1.0,1.0,18,1,False,False,False,True,False,False
470195,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,34,1.0,1.0,1.0,19,0,False,False,False,False,False,False
470196,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,34,1.0,1.0,1.0,20,3,False,False,False,False,False,False
470196,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,34,1.0,1.0,1.0,20,3,False,False,False,False,False,False
470198,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,34,1.0,1.0,1.0,15,0,False,False,False,False,False,False
470200,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,34,1.0,1.0,1.0,16,1,False,False,False,False,False,False
470205,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,34,1.0,1.0,1.0,18,2,False,False,False,False,False,False
470207,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,34,1.0,1.0,1.0,16,2,False,False,False,False,False,False
477000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,85,3.0,2.0,1.0,14,1,False,False,False,True,False,False
477000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,84,3.0,2.0,1.0,12,5,False,False,False,False,False,False
485000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,84,3.0,2.0,1.0,20,1,True,False,False,True,False,False
495000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,84,3.0,3.0,1.0,10,6,True,False,False,True,False,False
505000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,85,3.0,2.0,2.0,6,3,True,False,False,False,False,False
505045,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,85,3.0,2.0,2.0,4,3,True,False,False,False,False,False
520001,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,45,2.0,1.0,1.0,12,6,False,True,True,True,False,True
550000,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,90,2.0,2.0,1.0,9,2,False,False,False,False,False,True
560999,apartamento,apartamento_padrao,Vila Velha,Coqueiral de Itaparica,47,2.0,1.0,1.0,17,2,False,True,False,True,False,False
