_row_id_base,_row_id_novo,cidade_base,cidade_novo,bairro_base,bairro_novo,tipo_imovel_base,tipo_imovel_novo,preco_venda_base,preco_venda_novo,area_m2_base,area_m2_novo,quartos,banheiros,vagas,dif_preco_abs,dif_preco_pct,dif_area_abs,dif_area_pct
281,4233,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,730000,730000,66,66,2.0,1.0,1.0,0,0.0,0,0.0
286,3479,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,740000,740000,120,120,3.0,2.0,2.0,0,0.0,0,0.0
286,4387,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,740000,740000,120,120,3.0,2.0,2.0,0,0.0,0,0.0
287,3479,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,740000,740000,120,120,3.0,2.0,2.0,0,0.0,0,0.0
287,4387,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,740000,740000,120,120,3.0,2.0,2.0,0,0.0,0,0.0
288,3479,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,740000,740000,120,120,3.0,2.0,2.0,0,0.0,0,0.0
288,4387,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,740000,740000,120,120,3.0,2.0,2.0,0,0.0,0,0.0
289,3387,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,745000,745000,75,75,2.0,2.0,1.0,0,0.0,0,0.0
291,3807,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,750000,750000,78,78,3.0,2.0,1.0,0,0.0,0,0.0
295,3667,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,760000,760000,62,62,2.0,2.0,1.0,0,0.0,0,0.0
295,4028,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,760000,760000,62,62,2.0,2.0,1.0,0,0.0,0,0.0
298,3736,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,780000,780000,80,80,3.0,2.0,2.0,0,0.0,0,0.0
299,4513,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,780000,780000,79,79,3.0,2.0,1.0,0,0.0,0,0.0
300,4004,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,780000,780000,116,116,3.0,2.0,1.0,0,0.0,0,0.0
300,4391,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,780000,780000,116,116,3.0,2.0,1.0,0,0.0,0,0.0
300,4452,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,780000,780000,116,116,3.0,2.0,1.0,0,0.0,0,0.0
301,3736,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,780000,780000,80,80,3.0,2.0,2.0,0,0.0,0,0.0
302,4004,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,780000,780000,116,116,3.0,2.0,1.0,0,0.0,0,0.0
302,4391,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,780000,780000,116,116,3.0,2.0,1.0,0,0.0,0,0.0
302,4452,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,780000,780000,116,116,3.0,2.0,1.0,0,0.0,0,0.0
309,3285,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,790000,790000,85,85,2.0,2.0,1.0,0,0.0,0,0.0
314,4245,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,795000,795000,74,74,2.0,2.0,1.0,0,0.0,0,0.0
314,4515,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,795000,795000,74,74,2.0,2.0,1.0,0,0.0,0,0.0
315,4245,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,795000,795000,74,74,2.0,2.0,1.0,0,0.0,0,0.0
315,4515,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,795000,795000,74,74,2.0,2.0,1.0,0,0.0,0,0.0
316,4245,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,795000,795000,74,74,2.0,2.0,1.0,0,0.0,0,0.0
316,4515,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,795000,795000,74,74,2.0,2.0,1.0,0,0.0,0,0.0
317,3769,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,799000,799000,85,85,3.0,2.0,1.0,0,0.0,0,0.0
318,3769,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,799000,799000,85,85,3.0,2.0,1.0,0,0.0,0,0.0
320,4156,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,820000,820000,73,73,3.0,2.0,2.0,0,0.0,0,0.0
325,3997,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,850000,850000,90,90,3.0,2.0,1.0,0,0.0,0,0.0
327,4065,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,850000,850000,154,154,3.0,1.0,2.0,0,0.0,0,0.0
328,3225,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,850000,850000,63,63,2.0,2.0,2.0,0,0.0,0,0.0
328,3377,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,850000,850000,63,63,2.0,2.0,2.0,0,0.0,0,0.0
328,3560,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,850000,850000,63,63,2.0,2.0,2.0,0,0.0,0,0.0
331,3225,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,850000,850000,63,63,2.0,2.0,2.0,0,0.0,0,0.0
331,3377,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,850000,850000,63,63,2.0,2.0,2.0,0,0.0,0,0.0
331,3560,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,850000,850000,63,63,2.0,2.0,2.0,0,0.0,0,0.0
338,3295,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,869000,869000,90,90,2.0,2.0,2.0,0,0.0,0,0.0
338,3298,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,869000,869000,90,90,2.0,2.0,2.0,0,0.0,0,0.0
338,3689,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,869000,869000,90,90,2.0,2.0,2.0,0,0.0,0,0.0
348,3844,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,891000,891000,80,80,3.0,2.0,2.0,0,0.0,0,0.0
352,3610,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,899000,899000,65,65,2.0,2.0,2.0,0,0.0,0,0.0
353,3610,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,899000,899000,65,65,2.0,2.0,2.0,0,0.0,0,0.0
355,4512,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,900000,900000,100,100,3.0,3.0,2.0,0,0.0,0,0.0
356,3757,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,900000,900000,85,85,2.0,2.0,1.0,0,0.0,0,0.0
