motivo_remocao,id_anuncio,titulo,url,categoria_olx,tipo_detalhado,tipo_url,data_anuncio_olx,data_coleta,preco_venda,area_m2,preco_m2,cidade,bairro,tipo_imovel,subtipo_imovel,quartos,banheiros,vagas,qtd_imagens,idade_anuncio_dias,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador,area_suspeita,preco_suspeito,preco_m2_suspeito,preco_m2_suspeito_original
area_suspeita,1494631341,VENDO CASA EM ITACIBA,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-em-itaciba-1494631341,Casas,Venda - casa em rua pública,casa,2026-06-22T09:24:22,2026-07-06T22:29:02,210000,120000,1.75,Cariacica,Itacibá,casa,casa_rua_publica,3,1,1,6,14,False,False,True,False,False,False,True,False,True,True
area_suspeita,1494665391,CASA EM JARDIM AMÉRICA,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-em-jardim-america-1494665391,Casas,Venda - casa em rua pública,casa,2026-06-22T09:22:49,2026-07-06T22:29:02,190000,130000,1.46,Cariacica,Jardim América,casa,casa_rua_publica,2,1,1,8,14,False,False,False,False,False,False,True,False,True,True
area_suspeita,1502730504,Vendo ou troco por Sítio,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-ou-troco-por-sitio-1502730504,Casas,Venda - casa em rua pública,casa,2026-05-17T08:55:35,2026-07-06T22:33:26,390000,3,130000.0,Cariacica,Nova Esperança,casa,casa_rua_publica,2,2,1,13,50,False,False,True,False,False,False,True,False,True,True
preco_suspeito,1510481983,Vendo aceito proposta/ aceito caminhonete como parte,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-aceito-proposta-aceito-caminhonete-como-parte-1510481983,Casas,Venda - casa em rua pública,casa,2026-06-14T19:01:13,2026-07-06T22:30:03,250,339,0.74,Cariacica,Parque Gramado,casa,casa_rua_publica,5,1,,2,22,False,False,False,False,False,False,False,True,True,True
preco_suspeito,1501840720,Casa grande,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-grande-1501840720,Casas,Venda - casa em rua pública,casa,2026-05-13T19:33:35,2026-07-06T22:33:42,280,420,0.67,Cariacica,Porto Novo,casa,casa_rua_publica,4,3,5,10,54,False,False,True,False,False,False,False,True,True,True
area_m2_invalida,1515689832,Casa Nova rosa,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-nova-rosa-1515689832,Casas,Venda - casa em rua pública,casa,2026-07-05T10:37:43,2026-07-06T22:28:30,150000,0,,Cariacica,Porto de Cariacica,casa,casa_rua_publica,2,2,2,12,1,False,False,False,False,False,False,True,False,False,False
area_suspeita,1505155669,Vendo casa em rio posmosser...,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-em-rio-posmosser-1505155669,Casas,Venda - casa em rua pública,casa,2026-05-26T13:45:50,2026-07-06T22:31:54,170000,4500,37.78,Cariacica,Rio Branco,casa,casa_rua_publica,2,2,1,8,41,False,False,True,False,False,False,True,False,True,True
area_suspeita,1447128934,"Área á venda com 1.245 m² em Campina Grande, Cariacica - ES",https://es.olx.com.br/norte-do-espirito-santo/imoveis/area-a-venda-com-1-245-m-em-campina-grande-cariacica-es-1447128934,Casas,Venda - casa em rua pública,casa,2025-10-22T18:54:39,2026-07-06T22:34:51,850000,1245,682.73,Cariacica,Santa Bárbara,casa,casa_rua_publica,1,1,,5,257,False,False,False,False,False,False,True,False,True,True
area_suspeita,1311582652,"Terreno com 1.200m2 com casa boa , próximo ao Shopping Moxuara e Ceasa. Escriturado .",https://es.olx.com.br/norte-do-espirito-santo/imoveis/terreno-com-1-200m2-com-casa-boa-proximo-ao-shopping-moxuara-e-ceasa-escriturado-1311582652,Casas,Venda - casa em rua pública,casa,2024-06-09T17:59:21,2026-07-06T22:35:10,1200000,1200,1000.0,Cariacica,Santa Cecília,casa,casa_rua_publica,3,2,5,12,757,False,False,False,False,False,False,True,False,False,False
area_m2_invalida,1509780918,Vendo 2 casa kitnets juntas em são Francisco Cariacica ES,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-2-casa-kitnets-juntas-em-sao-francisco-cariacica-es-1509780918,Casas,Venda - casa em rua pública,casa,2026-06-11T17:51:49,2026-07-06T22:30:43,55000,0,,Cariacica,São Francisco,casa,casa_rua_publica,2,1,0,10,25,False,False,False,False,False,False,True,False,False,False
